symbol,address
MANA,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942
ENJ,0xF629cBd94d3791C9250152BD8dfBDF380E2a3B9c
SOCKS,0x23B608675a2B2fB1890d3ABBd85c5775c51691d5
RFOX,0xa1d6Df714F91DeBF4e0802A542E13067f31b8262
SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0
AXS,0xBB0E17EF65F82Ab018d8EDd776e8DD940327B28b
PUNK,0x269616D549D7e8Eaa82DFb17028d0B212D11232A
MUST,0x9C78EE466D6Cb57A4d01Fd887D2b5dFb2D46288f
NFTX,0x87d73E916D7057945c9BcD8cdd94e42A6F47f776
ILV,0x767FE9EDC9E0dF98E07454847909b5E959D7ca0E
AUDIO,0x18aAA7115705e8be94bfFEBDE57Af9BFc265B998
ERN,0xBBc2AE13b23d715c30720F079fcd9B4a74093505
GALA,0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA
UOS,0xD13c7342e1ef687C5ad21b27c2b65D772cAb5C8c
MASK,0xC7a8B45E184138114E6085C82936A8Db93DD156a
RARI,0xFca59Cd816aB1eaD66534D82bc21E7515cE441CF
GHST,0x3F382DbD960E3a9bbCeaE22651E88158d2791550
ATRI,0xdacD69347dE42baBfAEcD09dC88958378780FB62
WATRI,0xf037f37f58110933834CA64545E4ffD169736561
WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
CVX,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b
LDO,0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32
KEEP,0x85eee30c52b0b379b046fb0f85f4f3dc3009afec
BAL,0xba100000625a3754423978a60c9317c58a424e3d
ALCX,0xdbdb4d16eda451d0503b854cf79d55697f90c8df
AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9
CRV,0xD533a949740bb3306d119CC777fa900bA034cd52
FLX,0x6243d8cea23066d098a15582d81a598b4e8391f4
USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
